"Hora Unix";"Hora Local";"Distancia";"Ticks";"GIROSCOPIO";"ACELEROMETRO";"MAGNETROMETRO"
1736429066.264135;"2025-01-09 10:24:26.264135";"+00-0.00";-37;" ";" ";" "
1736429066.295854;"2025-01-09 10:24:26.296861";"+00-0.00";-37;" ";" ";" "
1736429066.327846;"2025-01-09 10:24:26.327846";"+00-0.00";-37;" ";" ";" "
1736429066.35927;"2025-01-09 10:24:26.359270";"+00-0.00";-37;" ";" ";" "
1736429066.390615;"2025-01-09 10:24:26.390615";"+00-0.00";-37;" ";" ";" "
1736429066.422636;"2025-01-09 10:24:26.422636";"+00-0.00";-37;" ";" ";" "
1736429066.452755;"2025-01-09 10:24:26.452755";"+00-0.00";-37;" ";" ";" "
1736429066.483998;"2025-01-09 10:24:26.483998";"+00-0.00";-37;" ";" ";" "
1736429066.515161;"2025-01-09 10:24:26.515161";"+00-0.00";-37;" ";" ";" "
1736429066.54613;"2025-01-09 10:24:26.546130";"+00-0.00";-37;" ";" ";" "
1736429066.577786;"2025-01-09 10:24:26.577786";"+00-0.00";-37;" ";" ";" "
1736429066.6085;"2025-01-09 10:24:26.608500";"+00-0.00";-37;" ";" ";" "
1736429066.640029;"2025-01-09 10:24:26.640029";"+00-0.00";-37;" ";" ";" "
1736429066.670176;"2025-01-09 10:24:26.670176";"+00-0.00";-37;" ";" ";" "
1736429066.701345;"2025-01-09 10:24:26.701345";"+00-0.00";-37;" ";" ";" "
1736429066.732046;"2025-01-09 10:24:26.732046";"+00-0.00";-37;" ";" ";" "
1736429066.763784;"2025-01-09 10:24:26.763784";"+00-0.00";-37;" ";" ";" "
1736429066.794563;"2025-01-09 10:24:26.794563";"+00-0.00";-37;" ";" ";" "
1736429066.825791;"2025-01-09 10:24:26.825791";"-0000.01";-140;" ";" ";" "
1736429066.854839;"2025-01-09 10:24:26.854839";"-0000.01";-140;" ";" ";" "
1736429066.885829;"2025-01-09 10:24:26.885829";"-0000.03";-355;" ";" ";" "
1736429066.916878;"2025-01-09 10:24:26.916878";"-0000.05";-686;" ";" ";" "
1736429066.945858;"2025-01-09 10:24:26.945858";"-0000.05";-686;" ";" ";" "
